CITY,REP_PERIOD,income,expense,core_income,op_surplus
Mykolaiv,2024-01-31,439.51473338,240.23718413,311.15479638,199.27754925
Mykolaiv,2024-02-29,898.17545218,556.51279645,640.1202152,341.66265573
Mykolaiv,2024-03-31,1309.11974671,877.41638101,916.88381883,431.70336570000006
Mykolaiv,2024-04-30,1847.07488596,1201.50878898,1261.56663261,645.5660969800001
Mykolaiv,2024-05-31,2423.08549107,1553.1538491,1603.3451549400002,869.9316419700001
Mykolaiv,2024-06-30,3104.40332304,2009.0393890799999,1937.70419145,1095.3639339600002
Mykolaiv,2024-07-31,3636.80265351,2276.2379686500003,2308.4892475,1360.5646848599995
Odesa,2021-01-31,754.2624056000001,487.20953851,639.8001826,267.05286709000006
Odesa,2021-02-28,1673.6458555899999,1140.93765607,1419.7564535899999,532.7081995199999
Odesa,2021-03-31,2534.29095198,1831.5198048599998,2138.29880298,702.7711471200003
Odesa,2021-04-30,3526.7372055499995,2570.94095215,2974.58089455,955.7962533999994
Odesa,2021-05-31,4500.1468166,3296.2902485,3737.67123052,1203.8565681000005
Odesa,2021-06-30,5598.23045167,4278.76699619,4494.06115192,1319.4634554799995
Odesa,2021-07-31,6560.52595804,4754.32028834,5368.99400514,1806.2056696999998
Odesa,2021-08-31,7477.88634083,5263.95114057,6177.19081993,2213.935200260001
Odesa,2021-09-30,8366.499744,5919.3068325799995,6896.73306356,2447.192911420001
Odesa,2021-10-31,9500.155818800002,6720.74451504,7872.59350048,2779.411303760002
Odesa,2021-11-30,10612.29863311,7468.925910100001,8795.45007639,3143.3727230099994
Odesa,2021-12-31,11848.842220060002,8587.548851130001,9751.5913947,3261.2933689300007
Odesa,2022-01-31,962.90720244,538.77681229,801.2706141,424.13039015000004
Odesa,2022-02-28,2073.7894727000003,1326.4576744400001,1750.19545728,747.3317982600001
Odesa,2022-03-31,2871.70818278,2152.6393975700003,2380.40631694,719.0687852099995
Odesa,2022-04-30,3867.57361765,3052.98564704,3213.8842619499997,814.58797061
